FRH10  (2766,1768)  (2718,1805)  (2718,1757)  (2814,1748)  (2862,1753)  | overflowToLeft=false
FRH11  (3179,1624)  (3131,1671)  (3131,1623)  (3226,1672)  (3179,1576)  (3227,1576)  (3227,1624)  (3129,1575)  (3178,1719)  (3130,1719)  (3083,1671)  (3083,1623)  (3274,1672)  (3274,1720)  (3226,1720)  (3082,1720)  (3177,1528)  (3275,1545)  (3275,1593)  (3081,1575)  (3081,1527)  (3129,1527)  (3035,1672)  (3035,1624)  (3322,1641)  (3322,1689)  (3034,1759)  (3323,1563)  (3033,1576)  (2987,1711)  (3370,1611)  (3370,1659)  (3370,1707)  (3418,1591)  (3418,1639)  (3418,1687)  (3466,1590)  (3466,1638)  (3466,1686)  | overflowToLeft=false
FZ21  (2219,1880)  (2171,1927)  (2171,1879)  (2266,1928)  (2219,1832)  (2267,1832)  (2267,1880)  (2169,1831)  (2218,1975)  (2170,1975)  (2314,1928)  (2314,1976)  (2266,1976)  (2217,1784)  (2265,1784)  (2315,1856)  (2121,1842)  (2163,1783)  (2269,1736)  | overflowToLeft=false
FZ20  (1807,2292)  (1759,2339)  (1759,2291)  (1808,2340)  (1807,2244)  (1855,2244)  (1855,2292)  (1760,2387)  (1712,2387)  (1711,2339)  (1711,2291)  (1903,2241)  (1903,2289)  (1935,2337)  (1758,2435)  (1710,2435)  (1951,2249)  (1983,2297)  (1999,2248)  | overflowToLeft=false
FZ23  (1682,1286)  (1634,1333)  (1634,1285)  (1729,1334)  (1682,1238)  (1730,1238)  (1730,1286)  (1632,1237)  (1681,1381)  (1633,1381)  (1586,1333)  (1586,1285)  (1777,1334)  (1585,1382)  (1778,1208)  (1778,1256)  (1584,1237)  (1584,1189)  (1538,1302)  (1825,1304)  (1826,1192)  (1826,1240)  (1536,1254)  (1874,1223)  (1874,1271)  | overflowToLeft=false
FZ22  (2234,2150)  (2186,2197)  (2186,2149)  (2281,2198)  (2234,2102)  (2282,2102)  (2282,2150)  (2184,2101)  (2233,2245)  (2185,2245)  (2329,2198)  (2329,2246)  (2281,2246)  (2232,2054)  (2280,2054)  (2330,2099)  (2330,2147)  (2136,2132)  (2136,2084)  (2184,2053)  (2137,2256)  | overflowToLeft=false
FZ25  (1599,1589)  (1551,1636)  (1551,1588)  (1646,1637)  (1599,1541)  (1647,1541)  (1647,1589)  (1549,1540)  (1598,1684)  (1550,1684)  (1503,1636)  (1503,1588)  (1694,1637)  (1694,1685)  (1646,1685)  (1502,1685)  (1597,1493)  (1645,1493)  (1693,1493)  (1695,1541)  (1695,1589)  (1501,1540)  (1501,1492)  (1549,1492)  (1741,1447)  (1580,1732)  (1455,1637)  (1455,1589)  (1742,1637)  (1532,1733)  (1484,1733)  (1454,1685)  (1743,1495)  (1743,1543)  (1453,1541)  (1453,1493)  (1453,1445)  (1501,1444)  (1789,1441)  (1790,1597)  (1790,1645)  (1518,1781)  (1470,1781)  (1405,1512)  (1405,1464)  | overflowToLeft=false
FZ24  (2043,1305)  (1995,1352)  (1995,1304)  (2090,1353)  (2043,1257)  (2091,1257)  (2091,1305)  (1993,1256)  (2042,1400)  (1994,1400)  (1947,1352)  (2097,1401)  (1946,1401)  (2041,1209)  (2089,1209)  (2137,1209)  (2139,1257)  (2139,1305)  (1979,1208)  (2185,1198)  (2049,1448)  (2001,1448)  (1899,1353)  (1953,1449)  (1905,1449)  (1898,1401)  (2187,1246)  (2187,1294)  (1857,1468)  | overflowToLeft=false
FZ27  (1558,2035)  (1510,2082)  (1510,2034)  (1605,2083)  (1558,1987)  (1606,1987)  (1606,2035)  (1508,1986)  (1557,2130)  (1509,2130)  (1462,2082)  (1462,2034)  (1653,2083)  (1653,2131)  (1605,2131)  (1461,2131)  (1556,1939)  (1654,1965)  (1654,2013)  (1460,1986)  (1460,1938)  (1508,1938)  (1557,2178)  (1509,2178)  (1701,2061)  (1701,2109)  (1677,2179)  (1629,2179)  (1413,2109)  (1556,1891)  (1412,1896)  (1460,1890)  (1508,1890)  (1566,1843)  | overflowToLeft=false
FZ26  (1985,1646)  (1937,1693)  (1937,1645)  (2032,1694)  (1985,1598)  (2033,1598)  (2033,1646)  (1935,1597)  (1984,1741)  (1936,1741)  (1889,1693)  (1889,1645)  (2080,1694)  (2080,1742)  (2032,1742)  (1888,1742)  (1983,1550)  (2031,1550)  (2079,1550)  (2081,1598)  (2081,1646)  (1887,1597)  (1887,1549)  (1935,1549)  (2127,1528)  (1984,1789)  (1936,1789)  (2128,1694)  (2043,1790)  (2129,1576)  (2129,1624)  (2176,1672)  | overflowToLeft=false
FZ28  (1936,2033)  (1888,2080)  (1888,2032)  (1983,2081)  (1936,1985)  (1984,1985)  (1984,2033)  (1886,1984)  (1935,2128)  (1887,2128)  (1840,2080)  (1840,2032)  (2031,2081)  (2031,2129)  (1983,2129)  (1839,2129)  (1934,1937)  (1982,1937)  (2030,1937)  (2032,1985)  (2032,2033)  (1838,1984)  (2078,1919)  (1935,2176)  (2071,2177)  (2023,2177)  (1791,2165)  (1790,2026)  (1790,1978)  | overflowToLeft=false
